org,org_member_of,org_link,chronicle_incidents_api_link,chronicle_link,chronicle_cms,chronicle_report_form,chronicle_visuals_interactive_map,chronicle_visuals_other,chronicle_data_point,chronicle_from,chronicle_to,chronicle_coverage_admin1,chronicle_coverage_admin2,chronicle_admin3,chronicle_incident_title,chronicle_incident_date,chronicle_incident_description,chronicle_source_name,chronicle_source_category,chronicle_source_link,chronicle_source_date,chronicle_source_allow_themselves_or_witness,chronicle_incident_motif,chronicle_incident_act,chronicle_incident_place,chronicle_incident_place_precision,chronicle_incidents_geocoded,chronicle_notes
Leuchtlinie,VBRG,https://www.leuchtlinie.de/,,https://www.leuchtlinie.de/chronik,drupal,y,,n,,08.01.2017,22.11.2020,Germany,Baden-Württemberg,all,y,y,y,n,n,y,n,y,n,n,y,town,n,
B.U.D. Bayern,VBRG,www.bud-bayern.de,,NA,jimdo,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Before München,VBRG,https://www.before-muenchen.de,,https://muenchen-chronik.de/chronik/,wordpress,y,y,n,"attack, insult, discriminating action",08.01.2013,25.08.2020,Germany,Bayern,"München, Kreisfreie Stadt",y,y,y,y,n,n,n,y,y,y,y,borough,n,"street in text,  source category exists not structured, tags exist per incident, can be person or keyword"
OPRA,VBRG,https://www.opra-gewalt.de/,,NA,processwire,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REACH Out,VBRG,https://www.reachoutberlin.de/,,https://www.reachoutberlin.de/de/chronik_2020,drupal,n,n,n,,01.01.2005,01.11.2020,Germany,Berlin,all,n,y,y,y,n,n,y,y,n,n,y,borough,n,no explicit report form but email contact above chronicle
Opferperspektive,VBRG,https://www.opferperspektive.de,,https://www.opferperspektive.de/such-ergebnisse-chronologie,wordpress,n,n,y,,01.01.2000,05.08.2020,Germany,Brandenburg,all,n,y,y,y,n,n,n,y,n,n,y,town,n,no explicit report form but email contact above chronicle
Empower Hamburg,VBRG,https://hamburg.arbeitundleben.de/empower/aktuelles,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Soliport Bremen,VBRG,https://soliport.de/aktuelles,https://keine-randnotiz.de/api/incidents,https://keine-randnotiz.de/#/,laravel,y,y,n,,23.12.2016,20.11.2020,Germany,Bremen,all,y,y,y,n,n,y,y,y,n,n,y,borough,y,"api hier https://keine-randnotiz.de/api/incidents, motif and act are somewhat coded in tags"
Response Hessen,VBRG,https://response-hessen.de,,https://hessenschauthin.de/chronik/,wordpress,y,n,n,,01.01.2019,14.11.2020,Germany,Hessen,all,y,y,y,y,n,y,n,y,y,n,y,county,n,"county location is coded, town is contained in headrer before colon"
LOBBI Mecklenburg-Vorpommern,VBRG,https://lobbi-mv.de,,https://lobbi-mv.de/such-ergebnisse-chronologie/?ort=&landkreis=&delikt=&motiv=&von=&bis=,wordpress,n,n,y,,07.01.2001,21.12.2019,Germany,Mecklenburg-Vorpommern,all,n,y,y,y,n,n,n,y,y,y,y,town,n,"good use case of simple visuals: https://lobbi-mv.de/rechte-gewalt-in-mecklenburg-vorpommern-2019-gefaehrliche-gewoehnung/ "
Opferberatung Rheinland,VBRG,https://www.opferberatung-rheinland.de,,https://www.opferberatung-rheinland.de/chronik-der-gewalt,TYPO3,n,n,n,,12.01.2012,03.10.2020,Germany,Nordrhein-Westfalen,"Düsseldorf, Kreisfreie Stadt;Köln, Kreisfreie Stadt",n,y,y,y,n,n,y,n,n,n,y,town,n,date and place somewhat structured in title
RAA Sachsen,VBRG,https://www.raa-sachsen.de/,https://www.raa-sachsen.de/support/chronik?landkreis=&jahr=,https://www.raa-sachsen.de/support/chronik,unknown,y,n,y,,27.01.2015,18.11.2020,Germany,Sachsen,all,n,y,y,n,y,n,n,y,n,n,y,town,n,"source category witness exists, very rich and interactive graphics,made with datawrapper"
Mobile Beratung Sachsen-Anhalt,VBRG,https://www.mobile-opferberatung.de,"https://www.mobile-opferberatung.de/wp-json/wp/v2/posts?per_page=99&categories=4,5,66",https://www.mobile-opferberatung.de/monitoring/chronik2003/,wordpress,n,n,y,,01.01.2003,01.09.2020,Germany,Sachsen-Anhalt,all,n,y,y,y,n,n,n,y,n,n,y,town,n,"all incidents have a wp year category assigned, here https://www.mobile-opferberatung.de/wp-json/wp/v2/categories?per_page=99"
ZEBRA,VBRG,https://www.zebraev.de/monitoring/,,,wordpress,y,y,y,"Right-wing, racist, antisemitic incidents",NA,NA,Germany,Schleswig-Holstein,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chronicle exists but not public, stats made available"
EZRA Thüringen,VBRG,https://ezra.de/,https://angstraeume.ezra.de/wp-json/ezra/v1/chronic,https://ezra.de/chronik/,wordpress,y,n,y,incidents with right’wing motif,05.01.2011,16.09.2020,Germany,Thüringen,all,y,y,y,y,n,y,n,y,y,n,y,town,n,api exists
RIAS,,https://report-antisemitism.de/monitoring,,,,y,n,y,,NA,NA,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
m*power,,https://www.mpower-rlp.de/,,https://www.mpower-rlp.de/chronik-der-gewalt/chronik-der-uebergriffe.html,joomla,n,n,n,violent incidents,04.02.2019,09.11.2019,Germany,Rheinland-Pfalz,all,n,y,y,n,n,n,n,n,n,n,y,town,n,seems discontinued
Projekt Gegenpart,Bundesverband Mobile Beratung,https://www.projektgegenpart.de/,,https://www.projektgegenpart.de/index.php/die-chronik,joomla,n,n,n,"violent incidents, activities, propaganda activities",02.10.1990,31.10.2020,Germany,Sachsen-Anhalt,all,n,y,y,y,n,n,n,y,n,n,y,town,n,no report form but email link next to chronicle menue
BackUp,,https://www.backup-nrw.org/ueber-uns.html,,,,n,n,y,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,"Data appears in background paper but no public chroncile https://www.backup-nrw.org/images/Monitoring/2019_Mehr_Betroffene_rechter_Gewalt_in_NRW.pdf, org coverage Arnsberg, Detmold, Münster "
Amadeu Antonio Mut Gegen Rechts,Amadeu Antonio,,,https://www.mut-gegen-rechte-gewalt.de/service/chronik-vorfaelle,drupal,n,y,n,Anti-refugee,01.01.2015,08.11.2020,Germany,all,all,n,y,y,y,n,y,n,n,n,y,y,town,n,incidents seem geocoded but not accessible
Amadeu Antonio Antisemitische Vorfälle,Amadeu Antonio,,,https://www.amadeu-antonio-stiftung.de/chronik/,wordpress,n,n,n,antisemitic,02.10.2008,27.11.2020,Germany,all,all,y,y,y,y,n,y,n,y,n,n,y,town,n,"bundesland is coded, API seems available as json, older entries contain source dates some facetwp wordpress plugin used"
Belltower News Chroniken,Amadeu Antonio,,,https://www.belltower.news/lexikon/chronik/,wordpress,n,n,n,Right-wing and racist violence,01.01.2015,31.03.2020,Germany,all,all,y,y,y,n,n,y,n,n,n,n,y,town,n,"monthly chronicles inside posts, changing format across months"
MOBIT Thüringen,Bundesverband Mobile Beratung,,,https://mobit.org/chronik-extrem-rechter-aktivitaeten-in-thueringen/,wordpress,n,n,n,activities,07.01.2016,30.09.2020,Germany,Thüringen,all,y,y,y,y,n,y,n,y,n,n,y,town,n,"partial source links, web based chronicle back to 2016, pdf chorincles back to 2005"
Beratungsnetzwerk Hessen,Bildungsstätte Anne Frank,,,http://beratungsnetzwerk-hessen.de/monitoring-berichte,,n,n,n,activities,18.01.2019,05.10.2020,Germany,Hessen,all,y,y,y,n,n,y,n,n,n,n,y,town,n,"tags exist for each incident, incidents locked inside semi-structured PDF"
AdiBe Hessen,Bildungsstätte Anne Frank,https://adibe-hessen.de/de,,,,y,n,n,incident,NA,NA,Germany,Hessen,all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,form to submit incident exists but no public chornicle
Antifaschistisches Bildungszentrum und Archiv Göttingen,,https://antifaschistisches-archiv.org/angebot/chronik/,,https://antifaschistisches-archiv.org/angebot/chronik/chronik-2020/,wordpress,y,n,n,Right-wing activities,01.01.2019,28.09.2020,Germany,"Niedersachen, Thüringen",Göttingen;Northeim;Eichsfeld,n,y,y,n,n,n,n,n,n,n,y,town,n,published as list. Analysis from 2019 here without visuals: https://antifaschistisches-archiv.org/publikationen/hingeschaut/ueber-400-extrem-rechte-vorfaelle-im-jahr-2019-in-der-region-erfasst/
Chronik.LE,Engagierte Wissenschaft,https://engagiertewissenschaft.de/,,https://www.chronikle.org/nordsachsen,drupal,y,n,n,"fascist, racism, discriminating events",14.02.2007,05.12.2020,Germany,Sachsen,"Nordsachsen;Leipzig, Kreisfreie Stadt",y,y,y,y,n,y,n,n,n,y,y,town,n,acts more systematically in taxonomy tags than motivations. Place also in tags. Sometimes names. Two separate pages for leipzig and nordsachsen. Example of visuals that could be improved https://www.chronikle.org/files/Abschlussbericht%20LK%20Leipzig%202017.pdf  Seem to cooperate with RAA. Data is integrated?
Antifaschistisches Jugendbündnis Saalfeld,Antifa,http://ajubs.blogsport.de/,,http://ajubs.blogsport.de/chronik-rechter-gewalt/,blogspot,n,n,n,Right-wing violence,17.08.1993,23.03.2019,Germany,Thüringen,Saalfeld-Rudolstadt,n,y,y,n,n,n,n,n,n,n,y,town,n,"poorly coded sources, only recent events with source links and names."
SOS Rassismus Barnim,,http://sosrassismusbarnim.blogsport.de/,,http://sosrassismusbarnim.blogsport.de/chronik/,blogsport,n,y,n,Right-wing and racist violence,01.02.2014,27.12.2018,Germany,Brandenburg,Barnim,y,y,y,y,n,n,n,y,n,n,y,town,n,"Also published in pdf format
New website https://sosrassismusbarnim.blackblogs.org/chronik/"
IBIS Oldenburg,,https://ibis-ev.de/helfen/diskriminierung-melden/,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contact form exists to report incident, no public chronicle"
